SMILES,match_index
O=P1(O)OC2=C(C3=CC=C(C4CCCCC4)C=C3)C=C5C(CCCC5)=C2C6=C(O1)C(C7=CC=C(C8CCCCC8)C=C7)=CC9=C6CCCC9,0-1-3-4-5-18-19-20-25-26-27-29-42-43-44-28-2
O=P1(O)OC2=C(C3=C(OC)C=CC=C3OC)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(OC)C=CC=C6OC)=CC7=C5C=CC=C7,0-1-3-4-5-16-17-18-23-24-25-27-38-39-40-26-2
O=P1(O)OC2=C(C3=CC(C)=C(OC(C)C)C(C)=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC(C)=C(OC(C)C)C(C)=C6)=CC7=C5C=CC=C7,0-1-3-4-5-18-19-20-25-26-27-29-42-43-44-28-2
O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C([Si](C8=CC=CC=C8)(C9=CC=CC=C9)C%10=CC=CC=C%10)=CC%11=C7C=CC=C%11,0-1-3-4-5-25-26-27-32-33-34-36-56-57-58-35-2
O=P1(O)OC2=C(Br)C=C3C(C=CC=C3)=C2C4=C(O1)C(Br)=CC5=CC=CC=C54,0-1-3-4-5-7-8-9-14-15-16-18-20-21-26-17-2
O=P1(O)OC2=C(CC)C=C3C(CCCC3)=C2C4=C(O1)C(CC)=CC5=C4CCCC5,0-1-3-4-5-8-9-10-15-16-17-19-22-23-24-18-2
O=P1(O)OC2=C(C3=CC=C(C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C=C3)C=C5C(C=CC=C5)=C2C6=C(O1)C(C7=CC=C(C8=CC(C(F)(F)F)=CC(C(F)(F)F)=C8)C=C7)=CC9=C6C=CC=C9,0-1-3-4-5-26-27-28-33-34-35-37-58-59-60-36-2
O=P1(O)OC2=C(CC3=C(C=CC=C4)C4=CC5=C3C=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)C(CC8=C(C=CC=C9)C9=CC%10=C8C=CC=C%10)=CC%11=C7C=CC=C%11,0-1-3-4-5-21-22-23-28-29-30-32-48-49-50-31-2
O=P1(O)OC2=C(C3=CC(C(C)(C)C)=CC(C(C)(C)C)=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC(C(C)(C)C)=CC(C(C)(C)C)=C6)=CC7=C5C=CC=C7,0-1-3-4-5-20-21-22-27-28-29-31-46-47-48-30-2
O=P1(O)OC2=C(CC3=CC=C(OC)C=C3)C=C4C(CCCC4)=C2C5=C(O1)C(CC6=CC=C(OC)C=C6)=CC7=C5CCCC7,0-1-3-4-5-15-16-17-22-23-24-26-36-37-38-25-2
O=P1(O)OC2=C(C3=CC(C4=C(C)C=C(C)C=C4C)=CC(C5=C(C)C=C(C)C=C5C)=C3)C=C6C(CCCC6)=C2C7=C(O1)C(C8=CC(C9=C(C)C=C(C)C=C9C)=CC(C%10=C(C)C=C(C)C=C%10C)=C8)=CC%11=C7CCCC%11,0-1-3-4-5-30-31-32-37-38-39-41-66-67-68-40-2
O=P1(O)OC2=C(Br)C=C3C(CCCC3)=C2C4=C(O1)C(Br)=CC5=C4CCCC5,0-1-3-4-5-7-8-9-14-15-16-18-20-21-22-17-2
O=P1(O)OC2=C(C3=C(C4CCCCC4)C=C(C5CCCCC5)C=C3C6CCCCC6)C=C7C(C=CC=C7)=C2C8=C(O1)[C@@]([C@@]9=C(C%10CCCCC%10)C=C(C%11CCCCC%11)C=C9C%12CCCCC%12)=CC%13=C8C=CC=C%13,0-1-3-4-5-30-31-32-37-38-39-41-66-67-68-40-2
O=P1(O)OC2=C([Si](C3=CC=CC=C3)(C)C4=CC=CC=C4)C=C5C(C=CC=C5)=C2C6=C(O1)C([Si](C7=CC=CC=C7)(C8=CC=CC=C8)C)=CC9=C6C=CC=C9,0-1-3-4-5-20-21-22-27-28-29-31-46-47-48-30-2
O=P1(O)OC2=C(C3=C(C)C=C(C)C=C3C)C=C4C(C=CC=C4)=C2C5=C(O1)[C@@]([C@@]6=C(C)C=C(C)C=C6C)=CC7=C5C=CC=C7,0-1-3-4-5-15-16-17-22-23-24-26-36-37-38-25-2
O=P1(O)OC2=C(C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)C=C6C(C=CC=C6)=C2C7=C(O1)[C@@]([C@@]8=C(C=CC=C9)C9=CC%10=C8C=CC=C%10)=CC%11=C7C=CC=C%11,0-1-3-4-5-20-21-22-27-28-29-31-46-47-48-30-2
O=P1(O)OC2=C(C3=CC=C(C)C=C3)C=C4C(C=CC=C4)=C2C5=C(O1)C(C6=CC=C(C)C=C6)=CC7=C5C=CC=C7,0-1-3-4-5-13-14-15-20-21-22-24-32-33-34-23-2
O=P1(O)OC2=C(C3=C(C(C)C)C=C(C4=CC=C(C(C)(C)C)C=C4)C=C3C(C)C)C=C5C(C=CC=C5)=[C@]2[C@]6=C(O1)C(C7=C(C(C)C)C=C(C8=CC=C(C(C)(C)C)C=C8)C=C7C(C)C)=CC9=C6C=CC=C9,0-1-3-4-5-28-29-30-35-36-37-39-62-63-64-38-2
O=P1(O)OC2=C(C3=CC(C4=CC=C(OC)C=C4)=CC(C5=CC=C(OC)C=C5)=C3)C=C6C(C=CC=C6)=C2C7=C(O1)C(C8=CC(C9=CC=C(OC)C=C9)=CC(C%10=CC=C(OC)C=C%10)=C8)=CC%11=C7C=CC=C%11,0-1-3-4-5-28-29-30-35-36-37-39-62-63-64-38-2
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(Cl)C=C2Cl,0-1-8-9-10-2-3-4-5-6-7
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC=C2,0-1-8-9-10-2-3-4-5-6-7
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(OC)C=C2,0-1-8-9-10-2-3-4-5-6-7
O=C(C1=CC=CC=C1)/N=C/C2=CC=C(C(F)(F)F)C=C2,0-1-8-9-10-2-3-4-5-6-7
O=C(C1=CC=CC=C1)/N=C/C2=CC=CC3=C2C=CC=C3,0-1-8-9-10-2-3-4-5-6-7
SC1=CC=CC=C1C,1-0
SC1CCCCC1,1-0
CCS,1-2
SC1=CC=C(OC)C=C1,1-0
SC1=CC=CC=C1,1-0
